city,count
bristol,2
other,2
ofa,3
bradford,4
cairngorm,4
belfast,5
eden,5
islington,5
kensington,5
lands,5
newcastle,5
bury,6
eastbourne,6
edinborough,6
jaywick,6
swansea,6
birmingham,7
yamaguchi,9
marseille,10
honolulu,12
taipei,12
baltimore,14
doha,14
paris,14
auckland,16
brisbane,16
hamilton,16
minneapolis,16
naples,16
sacramento,16
vienna,16
bogota,19
kuala_lumpur,26
santiago,26
san_francisco,30
sendai,32
rio_de_janeiro,34
berlin,55
denver,63
stockholm,65
tokyo,69
kyiv,73
seoul,77
singapore,87
oslo,88
fairbanks,100
porto,112
ilorin,171
new_york_city,496
london,658
unknown,678
hong_kong,738
